AverageTemperature,City,year,month,day
24.008,0,1843,03,01
26.793,0,1845,08,01
25.804,0,1846,10,01
26.763,0,1846,12,01
26.05,0,1849,01,01
24.535,0,1849,02,01
25.167,0,1849,03,01
23.92,0,1849,04,01
25.174,0,1849,05,01
27.128,0,1849,06,01
27.706,0,1849,07,01
27.537,0,1849,08,01
26.565,0,1849,09,01
26.073,0,1849,10,01
26.993,0,1849,11,01
25.193,0,1849,12,01
26.106,0,1850,01,01
25.635,0,1850,02,01
24.776,0,1850,03,01
24.33,0,1850,04,01
24.201,0,1850,05,01
26.773,0,1850,06,01
27.771,0,1850,07,01
27.625,0,1850,08,01
26.797,0,1850,09,01
26.316,0,1850,10,01
25.796,0,1850,11,01
24.262,0,1850,12,01
25.296,0,1851,01,01
23.974,0,1851,02,01
23.677,0,1851,03,01
24.349,0,1851,04,01
26.33,0,1851,05,01
27.467,0,1851,06,01
27.163,0,1851,07,01
27.416,0,1851,08,01
26.277,0,1851,09,01
26.591,0,1851,10,01
25.243,0,1851,11,01
25.528,0,1851,12,01
23.464,0,1852,01,01
25.581,0,1852,02,01
23.836,0,1852,03,01
24.621,0,1852,04,01
26.412,0,1852,05,01
26.929,0,1852,06,01
27.301,0,1852,07,01
27.26,0,1852,08,01
26.425,0,1852,09,01
26.15,0,1852,10,01
26.144,0,1852,11,01
26.575,0,1852,12,01
23.741,0,1853,01,01
22.949,0,1853,02,01
22.914,0,1853,03,01
24.062,0,1853,04,01
25.987,0,1853,05,01
26.511,0,1853,06,01
27.963,0,1853,07,01
26.843,0,1853,08,01
26.291,0,1853,09,01
25.942,0,1853,10,01
26.246,0,1853,11,01
25.529,0,1853,12,01
23.859,0,1854,01,01
23.116,0,1854,02,01
24.708,0,1854,03,01
23.899,0,1854,04,01
25.896,0,1854,05,01
26.553,0,1854,06,01
26.422,0,1854,07,01
26.306,0,1854,08,01
26.003,0,1854,09,01
26.983,0,1854,10,01
25.995,0,1854,11,01
24.147,0,1854,12,01
25.252,0,1855,01,01
23.404,0,1855,02,01
22.99,0,1855,03,01
24.521,0,1855,04,01
26.881,0,1855,05,01
26.875,0,1855,06,01
26.112,0,1855,07,01
26.133,0,1855,08,01
25.407,0,1855,09,01
25.149,0,1855,10,01
25.903,0,1855,11,01
24.875,0,1855,12,01
22.9,0,1856,01,01
23.171,0,1856,02,01
23.403,0,1856,03,01
24.499,0,1856,04,01
25.529,0,1856,05,01
27.622,0,1856,06,01
27.031,0,1856,07,01
27.774,0,1856,08,01
25.523,0,1856,09,01
25.079,0,1856,10,01
24.832,0,1856,11,01
25.085,0,1856,12,01
24.368,0,1857,01,01
24.64,0,1857,02,01
22.985,0,1857,03,01
22.837,0,1857,04,01
25.193,0,1857,05,01
27.255,0,1857,06,01
27.513,0,1857,07,01
27.465,0,1857,08,01
26.056,0,1857,09,01
26.313,0,1857,10,01
26.44,0,1857,11,01
25.134,0,1857,12,01
25.741,0,1858,01,01
23.609,0,1858,02,01
23.705,0,1858,03,01
25.07,0,1858,04,01
26.921,0,1858,05,01
27.326,0,1858,06,01
27.3,0,1858,07,01
26.868,0,1858,08,01
26.63,0,1858,09,01
27.744,0,1858,10,01
25.631,0,1858,11,01
24.828,0,1858,12,01
24.613,0,1859,01,01
25.493,0,1859,02,01
24.91,0,1859,03,01
25.212,0,1859,04,01
27.005,0,1859,05,01
27.544,0,1859,06,01
27.236,0,1859,07,01
27.572,0,1859,08,01
26.208,0,1859,09,01
26.387,0,1859,10,01
26.273,0,1859,11,01
24.142,0,1859,12,01
24.223,0,1860,01,01
23.344,0,1860,02,01
22.541,0,1860,03,01
24.214,0,1860,04,01
25.668,0,1860,05,01
28.006,0,1860,06,01
27.417,0,1860,07,01
26.739,0,1860,08,01
26.345,0,1860,09,01
26.271,0,1860,10,01
26.136,0,1860,11,01
24.583,0,1860,12,01
23.84,0,1861,01,01
23.01,0,1861,02,01
23.597,0,1861,03,01
24.421,0,1861,04,01
